title:
Liiska xisaabaadka Instagram-ka ee inta badan la raaco

url:
https://so.wikipedia.org/wiki?curid=35420

text:
Liistada soo socota waa 50-ka akoon ee ugu dabagalka badan ee Instagram-ka, iyadoo wadar kasta lagu soo koobay malaayiinta raacsan ee ugu dhow, iyo sidoo kale xirfadda ama waxqabadka isticmaale kasta. [ 1 ]

Xisaabaadka inta badan la raaco

Tixraacyo

Kiristiyano Ronaldo ayaa ah shaqsiga loogu raacda badan yahay Instagram-ka, isagoo leh in ka badan 557 milyan oo taageerayaal ah.

Lionel Messi waa kan loogu raacda badan yahay Instagram ee Koonfurta Ameerika, isagoo leh in ka badan 438 milyan oo taageerayaal ah.

Selena Gomez waa haweeneyda, jilaayada iyo heesaayada loogu raacda badan yahay Instagram-ka, iyadoo leh in ka badan 396 milyan oo taageerayaal ah.

Virat Kohli waa Aasiyaanka loogu raacda badan yahay Instagram-ka, oo leh in ka badan 239 milyan oo taageerayaal ah.

Khaby Lame waa Afrikaanka loogu raacda badan yahay Instagram-ka, oo leh in ka badan 79 milyan oo taageerayaal ah.


# Tables

## Table 1
| Darajo | Magaca isticmaale | Milkiilaha | Raacayaal(milyan) |
| --- | --- | --- | --- |
| 1 | @instagram | Instagram | 468 |
| 2 | @cristiano | Cristiano Ronaldo | 398 |
| 3 | @kyliejenner | Kylie Jenner | 308 |
| 4 | @leomessi | Lionel Messi | 306 |
| 5 | @selenagomez | Selena Gomez | 295 |
| 6 | @therock | Dwayne Johnson | 294 |
| 7 | @arianagrande | Ariana Grande | 293 |
| 8 | @kimkardashian | Kim Kardashian | 284 |
| 9 | @beyonce | Beyoncé | 236 |
| 10 | @justinbieber | Justin Bieber | 219 |
| 11 | @khloekardashian | Khloé Kardashian | 218 |
| 12 | @kendalljenner | Kendall Jenner | 217 |
| 13 | @natgeo | National Geographic | 206 |
| 14 | @taylorswift | Taylor Swift | 198 |
| 15 | @nike | Nike | 196 |
| 16 | @jlo | Jennifer Lopez | 193 |
| 17 | @virat.kohli | Virat Kohli | 181 |
| 18 | @nickiminaj | Nicki Minaj | 171 |
| 19 | @neymarjr | Neymar | 168 |
| 20 | @kourtneykardash | Kourtney Kardashian | 160 |
| 21 | @mileycyrus | Miley Cyrus | 159 |
| 22 | @katyperry | Katy Perry | 150 |
| 23 | @kevinhart4real | Kevin Hart | 135 |
| 24 | @zendaya | Zendaya | 126 |
| 25 | @ddlovato | Demi Lovato | 125 |
| 26 | @iamcardib | Cardi B | 121 |
| 27 | @badgalriri | Rihanna | 118 |
| 28 | @theellenshow | Ellen DeGeneres | 113 |
| 29 | @kingjames | LeBron James | 110 |
| 30 | @realmadrid | Real Madrid CF | 109 |
| 31 | @fcbarcelona | FC Barcelona | 104 |
| 32 | @chrisbrownofficial | Chris Brown | 103 |
| 33 | @champagnepapi | Drake | 101 |
| 34 | @billieeilish | Billie Eilish | 99 |
| 35 | @championsleague | UEFA Champions League | 87 |
| 36 | @vindiesel | Vin Diesel | 78 |
| 37 | @dualipa | Dua Lipa | 78 |
| 38 | @nasa | NASA | 73 |
| 39 | @priyankachopra | Priyanka Chopra | 73 |
| 40 | @gal_gadot | Gal Gadot | 72 |
| 41 | @lalalalisa_m | Lisa | 72 |
| 42 | @gigihadid | Gigi Hadid | 72 |
| 43 | @victoriassecret | Victoria's Secret | 71 |
| 44 | @shakira | Shakira | 71 |
| 45 | @davidbeckham | David Beckham | 70 |
| 46 | @shraddhakapoor | Shraddha Kapoor | 68 |
| 47 | @khaby00 | Khaby Lame | 68 |
| 48 | @nehakakkar | Neha Kakkar | 67 |
| 49 | @snoopdogg | Snoop Dogg | 67 |
| 50 | @shawnmendes | Shawn Mendes | 66 |
| as of Janaayo 16, 2022 |
