file,title,url,word_count,has_tables,has_infobox,chosen_from
14 (tiro).txt,14 (tiro),https://so.wikipedia.org/wiki?curid=13492,94,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Radio Hargeysa.txt,Radio Hargeysa,https://so.wikipedia.org/wiki?curid=5989,182,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Xidhiidhka Dibada ee Somaliland.txt,Xidhiidhka Dibada ee Somaliland,https://so.wikipedia.org/wiki?curid=7950,201,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
23 (tiro).txt,23 (tiro),https://so.wikipedia.org/wiki?curid=13501,92,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Caano dheey.txt,Caano dheey,https://so.wikipedia.org/wiki?curid=22320,165,1,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
The Glory Days Tour.txt,The Glory Days Tour,https://so.wikipedia.org/wiki?curid=30331,265,1,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Jo Se-rim.txt,Jo Se-rim,https://so.wikipedia.org/wiki?curid=35271,88,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Zuzana Čaputová.txt,Zuzana Čaputová,https://so.wikipedia.org/wiki?curid=40206,189,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Kaar Engineering Services.txt,Kaar Engineering Services,https://so.wikipedia.org/wiki?curid=40994,142,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Barrleka.txt,Barrleka,https://so.wikipedia.org/wiki?curid=32103,16,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Muran Antartika.txt,Muran Antartika,https://so.wikipedia.org/wiki?curid=33337,21,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Lacagta USA_Arabta.txt,Lacagta USA/Arabta,https://so.wikipedia.org/wiki?curid=36627,23,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Pumuang Duangjan.txt,Pumuang Duangjan,https://so.wikipedia.org/wiki?curid=30224,124,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Samo ku waar.txt,Samo ku waar,https://so.wikipedia.org/wiki?curid=2068,841,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Dilka Maria Ladenburger 2016.txt,Dilka Maria Ladenburger 2016,https://so.wikipedia.org/wiki?curid=41832,91,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Secret Number.txt,Secret Number,https://so.wikipedia.org/wiki?curid=34765,193,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
76 (tiro).txt,76 (tiro),https://so.wikipedia.org/wiki?curid=13561,92,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Meesha Hawada.txt,Meesha Hawada,https://so.wikipedia.org/wiki?curid=33728,233,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Dalalka Kommonwels - Asia.txt,Dalalka Kommonwels - Asia,https://so.wikipedia.org/wiki?curid=36005,30,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Barasafille.txt,Barasafille,https://so.wikipedia.org/wiki?curid=7084,226,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Qorofka.txt,Qorofka,https://so.wikipedia.org/wiki?curid=11662,132,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
41 (tiro).txt,41 (tiro),https://so.wikipedia.org/wiki?curid=13511,86,1,1,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
Af-Tonga.txt,Af-Tonga,https://so.wikipedia.org/wiki?curid=36883,105,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
2016.txt,2016,https://so.wikipedia.org/wiki?curid=9563,652,0,0,/Users/user/data/sowiki-20250901/sowiki_upgraded_txt
